"Date","Price","Open","High","Low","Vol.","Change %"
"04/15/2024","5.1962","5.1149","5.2147","5.1041","","1.54%"
"04/12/2024","5.1175","5.0922","5.1487","5.0890","","0.51%"
"04/11/2024","5.0917","5.0735","5.0931","5.0580","","0.34%"
"04/10/2024","5.0746","5.0092","5.0863","4.9970","","1.31%"
"04/09/2024","5.0090","5.0281","5.0310","4.9995","","-0.35%"
"04/08/2024","5.0268","5.0665","5.0759","5.0247","","-0.76%"
"04/05/2024","5.0655","5.0549","5.0746","5.0280","","0.23%"
"04/04/2024","5.0538","5.0392","5.0574","5.0043","","0.29%"
"04/03/2024","5.0393","5.0584","5.0921","5.0349","","-0.36%"
"04/02/2024","5.0576","5.0551","5.0631","5.0216","","0.07%"
"04/01/2024","5.0543","5.0147","5.0708","5.0093","","0.78%"
"03/29/2024","5.0153","5.0155","5.0163","5.0139","","0.05%"
"03/28/2024","5.0129","4.9871","5.0184","4.9788","","0.53%"
"03/27/2024","4.9866","4.9816","4.9942","4.9716","","0.12%"
"03/26/2024","4.9808","4.9752","4.9942","4.9651","","0.11%"
"03/25/2024","4.9751","5.0023","5.0065","4.9718","","-0.49%"
"03/22/2024","4.9997","4.9781","5.0099","4.9739","","0.43%"
"03/21/2024","4.9781","4.9688","4.9865","4.9504","","0.18%"
"03/20/2024","4.9691","5.0313","5.0354","4.9649","","-1.21%"
"03/19/2024","5.0301","5.0261","5.0557","5.0100","","0.10%"
"03/18/2024","5.0253","4.9960","5.0324","4.9834","","0.61%"
"03/15/2024","4.9949","4.9897","5.0022","4.9812","","0.11%"
"03/14/2024","4.9895","4.9705","4.9945","4.9530","","0.39%"
